Territory,Product Line,Customer,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct
West,Gas Mowers,Walk-In Customer,369,59,68,956,32,81,2987,4,-2944,101,103,2112
East,Seed Spreaders,House Store,216,62,108,109,134,202,132,108,-10,0,0,0
West,Garden Statues,Walk-In Customer,1,0,0,0,25,2,0,1,-1,0,0,0
West,Seed Spreaders,YardMart,147,75,101,80,92,88,89,39,-1,0,0,0
East,Seedling Starter Trays,Select Seeds,0,0,2,1,0,0,0,0,0,0,0,0
East,Raised Bed Kits,AK Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,AL Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,AR Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,AZ Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Landscape Design,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Bed Bath Beyond,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Bessemer City,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Seeds Online,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Bramption  Canada,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,British Columbia,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Broomfield Mfg,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Budget Seeds,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Budget Seeds,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Buehler Motor Inc,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,CA Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,CO Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,CT Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Canada Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Century Blinds,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Clear Blue,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,ComfortGrow,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Conversion Data Placekeeper Customer,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Core CA,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Core US,0,0,1,0,7,0,0,0,0,0,0,0
East,Raised Bed Kits,Cumberland Fabrication,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Custom Brands Group,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Custom Shutter Division,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,DE Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Dorn,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Eclipse Shutter,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,FL Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,FLEXTRONICS INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Flexo Fabrication,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,GA Dealers,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Great Lakes,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer Asia Other,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Australia,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer Europe,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer Europe,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer Japan,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer Korea,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer Latin America,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer Middle East,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer NA,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer NA,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer NA,0,0,0,0,0,0,0,0,0,0,0,0
East,Raised Bed Kits,Retailer NA,0,0,0,0,0,0,0,0,0,0,0,0
