"ASIN","Product.Name","Brand","Price","Monthly.Units.Sold","Daily.Units.Sold","Monthly.Revenue","Date.First.Available","Net.Revenue","Star.Rating","Reviews","Amazon.Fees","BSR","LQS","Seller.Type","Sellers","Category","Product.Tier","Dimensions","Weight","Link"
"B0C7J96PK2","Knee Pad Cushion - 0.6 inch (15mm) Thick Exercise Knee Pad for Pain Free Yoga - Perfect Companion for Home Workout - Easy on the Knees, Elbows, Wrists and Back (Does Not Include Yoga Mat)","Kinesis Yoga","$13.99","509","15","$7,121","06/07/2023","$7.66",4.7,"226","$6.33","18,144",7,"FBA",1,"Sports & Outdoors","Small standard","4.45 x 10.2 x 4.41 in","0.14 kg","https://www.amazon.com/dp/B0C7J96PK2?th=1&psc=1"
"B0CDLP9SQ3","Incense Holder, Wooden Incense Holder for Sticks with Glass Ash Catcher, Anti-ash Incense Burner with 20 Incense Sticks and a Ash Brush for Meditation Yoga Spa Room Decor","CEREMONY","$9.90","12,894","390","$127,651","08/02/2023","$3.69",4.6,"2,698","$6.26","1,958",7,"FBA",2,"Home & Kitchen","Large standard","3.937 x 9.803 x 3.504 in","0.683 lb","https://www.amazon.com/dp/B0CDLP9SQ3?th=1&psc=1"
"B08C1K6JBX","merka Yoga Cards, 50 Yoga Deck Flashcards with Asana Poses for Class Sequencing and Practice, Sanskrit and Cues for Beginners, Teachers, Women Workout Fitness Ideal Gift","merka","$21.98","345","11","$7,583","06/28/2020","$13.79",4.4,"806","$8.19","27,413",7,"FBA",1,"Toys & Games","Large standard","4.37 x 2.6 x 0.87 in","4.16 oz","https://www.amazon.com/dp/B08C1K6JBX?th=1&psc=1"
"B01LP0U5X0","Amazon Basics 1/2 Inch Extra Thick Exercise Yoga Mat with Carrying Strap","Amazon Basics","$17.80","39,280","1,380","$699,184","08/09/2017","$8.27",4.6,"102,031","$9.53","10",6,"AMZ",3,"Sports & Outdoors","Large standard","7.6 x 25.197 x 7.5 in","1 kg","https://www.amazon.com/dp/B01LP0U5X0?th=1&psc=1"
"B0CGY6G5PY","Palace Learning Yoga Pose Exercise Cards - Yoga Positions and Workout Fitness Cards with Over 50 Poses - 2.5' x 3.5'","palace learning","$7.97","102","3","$812.94","08/30/2023","$2.87",4.4,"80","$5.10","69,410",4,"FBA",1,"Sports & Outdoors","Large standard","3.62 x 2.6 x 0.91 in","0.1 kg","https://www.amazon.com/dp/B0CGY6G5PY?th=1&psc=1"
"B09Y1QQB26","WLLWOO WLLWOO Yoga Bags for Women with Yoga Mats Bags Carrier Carryall Canvas Tote for Pilates Shoulder for Travel Office Beach Workout","WLLWOO WLLWOO","$16.99","1,525","57","$25,910","05/31/2022","$5.01",4.6,"318","$11.98","4,189",7,"FBA",2,"Sports & Outdoors","Large standard","15 x 5 x 14 in","9.17 oz","https://www.amazon.com/dp/B09Y1QQB26?th=1&psc=1"
"B07CQM36X3","Ozaiic Yoga Socks for Women Non-Slip Grips & Straps, Ideal for Pilates, Pure Barre, Ballet, Dance, Barefoot Workout","ozaiic","$12.34","11,742","414","$144,896","04/27/2018","$7.46",4.6,"44,229","$4.88","1,177",7,"FBA",1,"Clothing, Shoes & Jewelry","Small standard","6.99 x 14.99 x 1 in","0.2 lb","https://www.amazon.com/dp/B07CQM36X3?th=1&psc=1"
"B075W63K67","Gaiam Yoga Block - Supportive Latex-Free Eva Foam - Soft Non-Slip Surface with Beveled Edges for Yoga, Pilates, Meditation - Yoga Accessories for Stability, Balance, Deepen Stretches","Gaiam","$14.38","20,577","769","$295,897","09/21/2017","$7.90",4.8,"52,126","$6.48","49",7,"AMZ",4,"Sports & Outdoors","Small standard","11.73 x 17.8 x 5.08 in","195 g","https://www.amazon.com/dp/B075W63K67?th=1&psc=1"
"B0C4Y43QKX","Trideer Yoga Blocks 2 Pack, Soft Non-Slip Surface Premium Foam Blocks, Supportive, Lightweight, Odor Resistant, Yoga Accessories for Pilates Meditation General Fitness Stretching Toning","Trideer","$12.99","6,099","175","$79,226","06/29/2023","$6.81",4.7,"2,543","$6.18","864",9,"FBA",1,"Sports & Outdoors","Small standard","6.02 x 5.87 x 9.17 in","4.23 oz","https://www.amazon.com/dp/B0C4Y43QKX?th=1&psc=1"
"B08GKGXNXL","11-in-1 Yoga Accessory Set - Wheel, Blocks, Bands, Bag & Jump Rope for Stretching & Backbends","WYRJXYB","$39.99","186","7","$7,438","07/15/2020","$24.32",4.7,"1,311","$15.67","40,258",5,"FBA",1,"Sports & Outdoors","Large standard","13.35 x 6.46 x 13.46 in","2.58 kg","https://www.amazon.com/dp/B08GKGXNXL?th=1&psc=1"
