Date,Units_Sold,Rank,Rating,Reviews,Price
2025-03-10,1119,71,N.A.,N.A.,36.99
2025-03-11,1712,19,N.A.,N.A.,36.99
2025-03-12,1845,15,N.A.,N.A.,36.99
2025-03-13,1300,45,N.A.,N.A.,36.99
2025-03-14,1084,78,N.A.,N.A.,36.99
2025-03-15,996,100,N.A.,N.A.,36.99
2025-03-16,1010,104,N.A.,N.A.,36.99
2025-03-17,973,116,N.A.,N.A.,36.99
2025-03-18,970,117,N.A.,N.A.,36.99
2025-03-19,1059,91,N.A.,N.A.,36.99
2025-03-20,939,128,N.A.,N.A.,36.99
2025-03-21,964,119,N.A.,N.A.,36.99
2025-03-22,970,117,N.A.,N.A.,36.99
2025-03-23,1097,113,N.A.,N.A.,36.99
2025-03-24,1799,24,4.3,5163,36.99
2025-03-25,1697,29,N.A.,N.A.,27.99
2025-03-26,1573,37,N.A.,N.A.,27.99
2025-03-27,1586,36,N.A.,N.A.,27.99
2025-03-28,1524,41,N.A.,N.A.,27.99
2025-03-29,1422,51,N.A.,N.A.,27.99
2025-03-30,1460,49,N.A.,N.A.,27.99
2025-03-31,1434,52,N.A.,N.A.,27.99
2025-04-01,1401,56,N.A.,N.A.,36.99
2025-04-02,1236,83,N.A.,N.A.,36.99
2025-04-03,1580,38,N.A.,N.A.,36.99
2025-04-04,1236,83,N.A.,N.A.,36.99
2025-04-05,1204,90,N.A.,N.A.,36.99
2025-04-06,1014,111,N.A.,N.A.,36.99
2025-04-07,945,137,N.A.,N.A.,36.99
2025-04-08,926,146,N.A.,N.A.,36.99
2025-04-09,877,171,N.A.,N.A.,36.99
2025-04-10,853,185,N.A.,N.A.,36.99
2025-04-11,784,234,N.A.,N.A.,36.99
2025-04-12,1038,103,N.A.,N.A.,36.99
2025-04-13,875,195,N.A.,N.A.,36.99
2025-04-14,838,220,N.A.,N.A.,36.99
2025-04-15,1198,75,N.A.,N.A.,27.99
2025-04-16,1392,46,N.A.,N.A.,27.99
2025-04-17,1487,37,N.A.,N.A.,27.99
2025-04-18,1539,33,N.A.,N.A.,27.99
2025-04-19,1692,24,N.A.,N.A.,27.99
2025-04-20,1676,27,N.A.,N.A.,27.99
2025-04-21,1717,25,N.A.,N.A.,27.99
2025-04-22,1896,18,N.A.,N.A.,36.99
2025-04-23,1216,76,N.A.,N.A.,36.99
2025-04-24,1034,124,4.3,5721,36.99
2025-04-25,982,144,N.A.,N.A.,36.99
2025-04-26,891,189,N.A.,N.A.,36.99
2025-04-27,898,211,N.A.,N.A.,36.99
2025-04-28,841,251,N.A.,N.A.,36.99
2025-04-29,822,267,N.A.,N.A.,36.99
2025-04-30,779,307,N.A.,N.A.,36.99
2025-05-01,1267,76,N.A.,N.A.,36.99
2025-05-02,870,230,N.A.,N.A.,36.99
2025-05-03,801,285,N.A.,N.A.,36.99
2025-05-04,816,330,N.A.,N.A.,36.99
2025-05-05,1333,79,N.A.,N.A.,36.99
2025-05-06,1323,81,N.A.,N.A.,36.99
2025-05-07,972,206,N.A.,N.A.,36.99
2025-05-08,819,326,N.A.,N.A.,36.99
2025-05-09,807,339,N.A.,N.A.,36.99
2025-05-10,778,372,N.A.,N.A.,36.99
2025-05-11,726,464,N.A.,N.A.,36.99
2025-05-12,923,257,N.A.,N.A.,36.99
2025-05-13,1362,82,N.A.,N.A.,36.99
2025-05-14,1071,171,N.A.,N.A.,36.99
2025-05-15,1276,101,N.A.,N.A.,36.99
2025-05-16,1252,107,N.A.,N.A.,36.99
2025-05-17,1242,110,N.A.,N.A.,36.99
2025-05-18,1136,123,4.3,6128,36.99
2025-05-19,1120,128,N.A.,N.A.,26.59
2025-05-20,1142,121,N.A.,N.A.,26.59
2025-05-21,1507,50,N.A.,N.A.,26.59
2025-05-22,1775,29,N.A.,N.A.,26.59
2025-05-23,1793,28,N.A.,N.A.,26.59
2025-05-24,1757,30,N.A.,N.A.,26.59
2025-05-25,1717,31,4.3,6261,26.59
2025-05-26,1752,29,N.A.,N.A.,36.99
2025-05-27,1686,33,N.A.,N.A.,36.99
2025-05-28,1686,33,N.A.,N.A.,36.99
2025-05-29,1212,97,N.A.,N.A.,36.99
2025-05-30,1151,114,N.A.,N.A.,36.99
2025-05-31,1103,130,N.A.,N.A.,36.99
2025-06-01,1412,65,4.3,6406,36.99
2025-06-02,1205,106,N.A.,N.A.,36.99
2025-06-03,1134,127,N.A.,N.A.,36.99
2025-06-04,1086,144,N.A.,N.A.,36.99
2025-06-05,1076,148,N.A.,N.A.,36.99
2025-06-06,1032,167,N.A.,N.A.,36.99
