date,price,ad_spend,holiday,clicks
2023-01-01,24.99,9,1,2005
2023-01-02,24.99,9,0,894
2023-01-03,24.99,9,0,934
2023-01-04,24.99,9,0,979
2023-01-05,24.99,9,0,892
2023-01-06,24.99,9,0,893
2023-01-07,24.99,9,0,985
2023-01-08,24.99,9,0,945
2023-01-09,24.99,9,0,884
2023-01-10,24.99,9,0,936
2023-01-11,24.99,9,0,887
2023-01-12,24.99,9,0,888
2023-01-13,24.99,9,0,924
2023-01-14,24.99,9,0,817
2023-01-15,24.99,9,0,828
2023-01-16,24.99,9,0,887
2023-01-17,24.99,9,0,865
2023-01-18,24.99,9,0,933
2023-01-19,24.99,9,0,872
2023-01-20,24.99,9,0,848
2023-01-21,24.99,9,0,993
2023-01-22,24.99,9,0,909
2023-01-23,24.99,9,0,925
2023-01-24,24.99,9,0,852
2023-01-25,24.99,9,0,897
2023-01-26,24.99,9,0,930
2023-01-27,24.99,9,0,868
2023-01-28,24.99,9,0,945
2023-01-29,24.99,9,0,898
2023-01-30,24.99,9,0,914
2023-01-31,24.99,9,0,900
2023-02-01,19.99,5,0,687
2023-02-02,19.99,5,0,595
2023-02-03,19.99,5,0,543
2023-02-04,19.99,5,0,638
2023-02-05,19.99,5,0,536
2023-02-06,19.99,5,0,608
2023-02-07,19.99,5,0,500
2023-02-08,19.99,5,0,533
2023-02-09,19.99,5,0,609
2023-02-10,19.99,5,0,637
2023-02-11,19.99,5,0,609
2023-02-12,19.99,5,0,596
2023-02-13,19.99,5,0,587
2023-02-14,19.99,5,1,1252
2023-02-15,24.99,5,0,489
2023-02-16,24.99,5,0,502
2023-02-17,24.99,5,0,579
2023-02-18,24.99,5,0,544
2023-02-19,24.99,5,0,439
2023-02-20,24.99,5,0,544
2023-02-21,24.99,5,0,509
2023-02-22,24.99,5,0,495
2023-02-23,24.99,5,0,560
2023-02-24,24.99,5,0,581
2023-02-25,24.99,5,0,577
2023-02-26,24.99,5,0,489
2023-02-27,24.99,5,0,516
2023-02-28,24.99,5,0,548
2023-03-01,24.99,8,0,901
2023-03-02,24.99,8,0,829
2023-03-03,24.99,8,0,844
2023-03-04,24.99,8,0,799
2023-03-05,24.99,8,0,796
2023-03-06,24.99,8,0,897
2023-03-07,24.99,8,0,925
2023-03-08,24.99,8,0,854
2023-03-09,24.99,8,0,909
2023-03-10,24.99,8,0,878
2023-03-11,24.99,8,0,828
2023-03-12,24.99,8,0,880
2023-03-13,24.99,8,0,939
2023-03-14,24.99,8,0,862
2023-03-15,24.99,8,0,942
2023-03-16,24.99,8,0,734
2023-03-17,24.99,8,0,907
2023-03-18,24.99,8,0,871
2023-03-19,24.99,8,0,853
